Compound,A1,A10,A11,A20,A28,A29,A30,A6,A7,A9,B1,B10,B2,B3,B4,B5,B6,B7,B8,B9
(+)-12-methyl myristic acid,0.01121964,0.002989544,0.004866849,0.002065217,0.002515131,0.001919701,0.001931436,0.002054593,0.002943418,0.018771233,0.010204925,0.005021861,0.009264854,0.019606571,0.008614456,0.025759199,0.015254786,0.004834299,0.003240071,0.07575954
(+)-24-Dammarene-3beta-20S-diol,0.010089445,0.005235526,0.008212627,0.00321287,0.008770507,0.006588162,0.00257288,0.012727063,0.009673252,0.007123886,0.004052148,0.008494496,0.003181808,0.003029462,0.002254413,0.001746733,0.005177069,0.006971356,0.005240111,0.001577146
(+)-Catechin hydrate,0.006078058,0.019819223,0.015822901,0.006204563,0.006643351,0.01405076,0.003061481,0.006508205,0.016313365,0.014171938,0.002091321,0.008129471,0.006167755,0.007338683,0.005799285,0.001512885,0.003687369,0.019538,0.004849024,0.002597611
(+)-Isostearic acid,0.794324511,0.42409211,0.631255428,0.392024752,0.670155503,0.378983201,0.250343669,0.766844502,0.863417203,0.72161855,0.917052672,0.654754543,0.281424656,0.83248465,0.460267629,0.45529885,0.689423818,0.818055281,0.745032828,1.334630199
(2-aminoethoxy)[2-(hexadecanoyloxy)-3-[octadec-1-en-1-yloxy]propoxy]phosphinic acid,0.001394561,0.005693074,0.002319034,0.020721946,0.004926731,0.034840473,0.000555889,0.001188684,0.000482926,0.001228202,0.003541051,0.000930834,0.044084404,0.000835178,0.00119438,0.006650971,0.002715616,0.001057772,0.010800847,0.001326882
(2-aminoethoxy)[2-(hexadecanoyloxy)-3-[octadec-11-enoyloxy]propoxy]phosphinic acid,0.011950545,0.066269712,0.022635531,0.292858127,0.077797023,0.238155447,0.01168674,0.011033644,0.008765203,0.004208593,0.092675842,0.010875703,0.422851212,0.014026884,0.021431755,0.094725935,0.075878235,0.014493478,0.389384855,0.038507782
(2-aminoethoxy)[2-[hexadec-9-enoyloxy]-3-[octadeca-1.11-dien-1-yloxy]propoxy]phosphinic acid,0.027993653,0.193536283,0.035950174,1.327378696,0.179095438,1.051679596,0.037028052,0.073649556,0.007687495,0.006136536,0.183769499,0.03003107,1.169635111,0.031644562,0.049523005,0.239121215,0.135963611,0.021013508,0.471937295,0.05100471
(2-aminoethoxy)[2-[icosa-5.8.11-trienoyloxy]-3-[octadec-1-en-1-yloxy]propoxy]phosphinic acid,0.016022703,0.108164932,0.016395277,0.28632469,0.050309564,0.451444806,0.000470063,0.025682758,0.002493472,0.004321078,0.061952429,0.014704231,0.270574106,0.004780558,0.012938582,0.254409984,0.037786063,0.012451582,0.097949411,0.009443095
(2-aminoethoxy)[3-[hexadec-1-en-1-yloxy]-2-(hexadecanoyloxy)propoxy]phosphinic acid,0.001467702,0.005504963,0.000804895,0.022528625,0.005206581,0.010159593,0.000704644,0.001364262,0.000294165,0.002389767,0.013173982,0.002717705,0.050053792,0.002416125,0.001467713,0.014244382,0.007867547,0.001971263,0.021084948,0.002244981
(2-aminoethoxy)[3-[hexadec-1-en-1-yloxy]-2-[hexadec-9-enoyloxy]propoxy]phosphinic acid,0.007048942,0.02574439,0.007518515,0.110970038,0.027860435,0.076533961,0.008436599,0.002810482,0.001298013,0.003609887,0.053125721,0.002815018,0.215436695,0.010628366,0.017015674,0.073393992,0.04339301,0.004602152,0.190184889,0.026185895
