Compound,A1,A10,A11,A20,A28,A29,A30,A6,A7,A9,B1,B10,B2,B3,B4,B5,B6,B7,B8,B9
(+)-12-methyl myristic acid,0.01121964,0.002989544,0.004866849,0.002065217,0.002515131,0.001919701,0.001931436,0.002054593,0.002943418,0.018771233,0.010204925,0.005021861,0.009264854,0.019606571,0.008614456,0.025759199,0.015254786,0.004834299,0.003240071,0.07575954
(+)-24-Dammarene-3beta-20S-diol,0.010089445,0.005235526,0.008212627,0.00321287,0.008770507,0.006588162,0.00257288,0.012727063,0.009673252,0.007123886,0.004052148,0.008494496,0.003181808,0.003029462,0.002254413,0.001746733,0.005177069,0.006971356,0.005240111,0.001577146
(+)-Catechin hydrate,0.006078058,0.019819223,0.015822901,0.006204563,0.006643351,0.01405076,0.003061481,0.006508205,0.016313365,0.014171938,0.002091321,0.008129471,0.006167755,0.007338683,0.005799285,0.001512885,0.003687369,0.019538,0.004849024,0.002597611
(+)-Isostearic acid,0.794324511,0.42409211,0.631255428,0.392024752,0.670155503,0.378983201,0.250343669,0.766844502,0.863417203,0.72161855,0.917052672,0.654754543,0.281424656,0.83248465,0.460267629,0.45529885,0.689423818,0.818055281,0.745032828,1.334630199
"(10E,15Z)-9,12,13-trihydroxyoctadeca-10,15-dienoic acid",0.001300061,0.000958249,0.001650254,0.000483641,0.001215505,0.000851679,0.000492652,0.001082236,0.00122943,0.004814265,0.002387008,0.009100492,0.001118008,0.014289865,0.001142923,0.001884155,0.002836446,0.009094482,0.001523476,0.010737027
"(16-Benzyl-5,12-dihydroxy-5,7,14-trimethyl-13-methylidene-6,18-dioxo-17-azatricyclo[9.7.0.01,15]octadeca-3,9-dien-2-yl) acetate",0.00257486,0.002903897,0.002804804,0.001628022,0.002917078,0.001992267,0.000816244,0.004081936,0.005205751,0.002108867,0.023370236,0.021863152,0.001228706,0.029534909,0.005531084,0.008990299,0.004616412,0.041363311,0.001322277,0.028286545
"(1R,7S,13S,15S)-2,15-Dihydroxy-7-methyl-6-oxabicyclo[11.3.0]hexadeca-3,11-dien-5-one",0.002937039,0.027993932,0.002348712,0.045771935,0.008263735,0.004668149,0.068312482,0.012128905,0.00808375,0.014345982,0.003703503,0.004391117,0.000811343,0.010180613,0.007634695,0.003993706,0.002094371,0.004343768,0.00358374,0.008060252
(2-aminoethoxy)[2-(hexadecanoyloxy)-3-[octadec-1-en-1-yloxy]propoxy]phosphinic acid,0.001394561,0.005693074,0.002319034,0.020721946,0.004926731,0.034840473,0.000555889,0.001188684,0.000482926,0.001228202,0.003541051,0.000930834,0.044084404,0.000835178,0.00119438,0.006650971,0.002715616,0.001057772,0.010800847,0.001326882
(2-aminoethoxy)[2-(hexadecanoyloxy)-3-[octadec-11-enoyloxy]propoxy]phosphinic acid,0.011950545,0.066269712,0.022635531,0.292858127,0.077797023,0.238155447,0.01168674,0.011033644,0.008765203,0.004208593,0.092675842,0.010875703,0.422851212,0.014026884,0.021431755,0.094725935,0.075878235,0.014493478,0.389384855,0.038507782
(2-aminoethoxy)[2-[hexadec-9-enoyloxy]-3-[octadeca-1.11-dien-1-yloxy]propoxy]phosphinic acid,0.027993653,0.193536283,0.035950174,1.327378696,0.179095438,1.051679596,0.037028052,0.073649556,0.007687495,0.006136536,0.183769499,0.03003107,1.169635111,0.031644562,0.049523005,0.239121215,0.135963611,0.021013508,0.471937295,0.05100471
