Genomic bins	A20	A30	A11	A10	A28	A29	A1	A7	A6	A9
bin.6	0.110408	0.179694	4.691635	0.309358	0.147648	0.0	0.284403	0.0	0.648494	0.51712
bin.12	0.86002	0.740432	0.0	3.419594	0.223796	0.239233	31.28715	0.0	0.1085	8.164937
bin.9	0.578026	7.21744	0.106333	3.560019	0.973172	131.906454	14.133569	0.256751	1.1248585	4.831172
bin.1	0.275688	1.839936	0.006327	9.718135	1.306831	0.178713	1.298801	0.776253	7.245705	0.567639
bin.4	0.0	15.645445	0.0	0.22794	0.0	0.0	10.977095	0.0	0.0	12.63061
bin.2	1.593229	0.785055	0.168526	21.157425	7.283245	0.601375	1.158272	0.95391	3.622996	0.614777
bin.5	0.076733	0.060679	4.025126	0.051067	0.0	0.0	0.127657	0.511479	0.008048	2.381399
bin.11	2.935176	1.88042	0.0	1.003879	0.420969	2.765098	18.3663855	0.0	0.468261	9.607511
bin.10	0.8543499999999999	0.715689	5.754177	0.483389	0.572419	0.129101	0.648089	2.027403	0.18018	0.886441
bin.15	31.99232	0.099021	59.698606	0.145133	0.028958	0.345611	1.0169565	0.975741	0.024507	4.977897
bin.14	1.392735	11.077029	24.91416	0.178362	0.489732	0.627286	4.355837	4.319142	0.411536	1.644311
bin.13	0.013453	0.003207	9.227262	0.000491	0.0	0.0	0.0	0.0	0.0	0.0
bin.19	0.529114	1.847037	0.116713	0.616233	0.0	0.0	0.17553449999999998	0.0	6.533758	1.465812
bin.18	0.798812	22.783177	0.071802	4.768969	0.978542	6.251032	25.188557	0.0	3.133884	24.411471
bin.17	0.005451	0.422024	11.47892	0.643103	0.033137	0.170298	0.345613	0.059264	0.017137	0.674642
bin.16	0.105863	0.143277	4.129683	0.128665	0.0	0.0	0.0	0.0	0.105145	0.059204
bin.7	0.0	0.0	0.0	8.150022	1.84685	0.0	0.0	0.0	0.003987	2.32699
bin.8	0.0	7.029316	0.077401	3.8472730000000004	1.504254	0.0	52.016099	0.0	0.734393	6.702214
bin.3	2.245022	0.41231	49.13655	0.945791	0.137723	0.125378	0.66218	0.387034	0.091885	1.329085
