Genomic bins	A20	A30	A11	A10	A28	A29	A1	A7	A6	A9
bin.9	0.578026	7.21741	0.106333	3.560033	0.973166	131.906532	14.133622	0.256756	1.1248575	4.831159
bin.20	1.593227	0.785052	0.168526	21.157514	7.283203	0.601375	1.158277	0.953929	3.622993	0.614776
bin.4	3.045794	1.932919	0.327777	1.482254	0.725477	127.685481	3.543135	0.478328	2.408965	0.421123
bin.25	4.742899	0.895285	0.548915	0.820723	2.394366	2.162481	1.225027	0.0	4.639179	3.119349
bin.22	4.300993	5.734201	0.765825	2.37567	4.855885	0.515921	0.493957	10.932679	5.752905	0.258511
bin.6	0.0	7.029287	0.077401	3.847289	1.504245	0.0	52.016297	0.0	0.734392	6.7022
bin.27	2.437383	4.900549	0.044074	1.022271	5.782916	0.0	0.0	6.449939	3.692344	0.0
bin.15	2.935173	1.880412	0.0	1.003882	0.420967	2.7651	18.366445	0.0	0.46826	9.607487
bin.17	0.0	0.0	0.0	8.150057	1.846839	0.0	0.0	0.0	0.003987	2.326984
bin.3	0.7988109999999999	22.783104	0.071802	4.768988	0.978537	6.251036	25.188651	0.0	3.133881	24.411416
bin.2	0.8543495	0.715686	5.754175	0.483391	0.572415	0.129101	0.648092	2.027444	0.18018	0.886439
bin.5	0.105862	0.143276	4.129681	0.128666	0.0	0.0	0.0	0.0	0.105145	0.059204
bin.11	0.0	15.645378	0.0	0.227941	0.0	0.0	10.977135	0.0	0.0	12.630581
bin.7	0.110408	0.179693	4.691633	0.30936	0.147647	0.0	0.284404	0.0	0.648493	0.517118
bin.14	1.392734	11.076981	24.91415	0.178363	0.489729	0.627287	4.355853	4.319227	0.411536	1.644306
bin.13	31.992289	0.099021	59.698578	0.145133	0.028958	0.345611	1.016959	0.97576	0.024507	4.977884
bin.18	0.275687	1.839928	0.006326	9.718176	1.306824	0.178713	1.298806	0.776268	7.245696	0.567637
bin.28	59.535399	3.44745	0.246378	0.975942	32.908389	6.994094	7.623648	12.319886	0.462515	0.0
bin.21	2.24502	0.412308	49.136527	0.945795	0.137722	0.125378	0.662183	0.387042	0.091885	1.329082
bin.16	0.013453	0.003207	9.227258	0.000491	0.0	0.0	0.0	0.0	0.0	0.0
bin.8	0.005451	0.422022	11.478915	0.643106	0.033137	0.170298	0.345615	0.059266	0.017137	0.67464
bin.10	0.860019	0.740429	0.0	3.419599	0.223795	0.239233	31.287264	0.0	0.1085	8.164919
bin.12	0.421939	10.846936	0.185743	15.615225	1.937983	0.0	3.558254	0.869803	0.705188	0.39356
bin.1	0.076733	0.060678	4.025124	0.051067	0.0	0.0	0.127658	0.51149	0.008048	2.381393
bin.24	24.242849	0.27967	0.54243	2.056588	9.161159	12.777437	3.07234	36.99028	16.777077	2.020476
bin.26	0.529113	1.84703	0.116713	0.616235	0.0	0.0	0.1755355	0.0	6.533753	1.465809
bin.19	0.666284	0.403549	24.029126	0.267681	0.0	0.0	0.442839	0.368097	0.082622	2.447196
bin.23	1.3523445	7.938614	0.0	1.04312	0.852326	0.0	11.968356	0.0	0.344977	14.161888
