community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	A_bin.1	A_bin.10	M_acald_e	0.06	0.05	1	0.003
all	minimal	A_bin.1	A_bin.10	M_bz_e	0.06	0.01	1	0.0006
all	minimal	A_bin.1	A_bin.10	M_cgly_e	0.06	0.03	1	0.0018
all	minimal	A_bin.1	A_bin.10	M_etoh_e	0.06	0.01	1	0.0006
all	minimal	A_bin.1	A_bin.10	M_fe2_e	0.06	0.12	1	0.0072
all	minimal	A_bin.1	A_bin.10	M_fe3_e	0.06	0.87	1	0.052199999999999996
all	minimal	A_bin.1	A_bin.10	M_fe3pyovd_kt_e	0.06	0.01	1	0.0006
all	minimal	A_bin.1	A_bin.10	M_glu__L_e	0.06	0.02	1	0.0012
all	minimal	A_bin.1	A_bin.10	M_glyc_e	0.06	0.01	1	0.0006
all	minimal	A_bin.1	A_bin.10	M_gthrd_e	0.06	0.88	1	0.0528
all	minimal	A_bin.1	A_bin.10	M_h2o_e	0.06	0.01	1	0.0006
all	minimal	A_bin.1	A_bin.10	M_h_e	0.06	0.01	1	0.0006
all	minimal	A_bin.1	A_bin.10	M_o2_e	0.06	0.19	1	0.0114
all	minimal	A_bin.1	A_bin.10	M_pi_e	0.06	0.52	1	0.0312
all	minimal	A_bin.1	A_bin.10	M_rib__D_e	0.06	0.01	1	0.0006
all	minimal	A_bin.1	A_bin.11	M_acald_e	0.07	0.05	1	0.0035000000000000005
all	minimal	A_bin.1	A_bin.11	M_etoh_e	0.07	0.01	1	0.0007000000000000001
all	minimal	A_bin.1	A_bin.11	M_fe3_e	0.07	0.87	1	0.0609
all	minimal	A_bin.1	A_bin.11	M_fe3pyovd_kt_e	0.07	0.01	1	0.0007000000000000001
all	minimal	A_bin.1	A_bin.11	M_h2o_e	0.07	0.01	1	0.0007000000000000001
all	minimal	A_bin.1	A_bin.11	M_h2s_e	0.07	0.01	1	0.0007000000000000001
all	minimal	A_bin.1	A_bin.11	M_h_e	0.07	0.01	1	0.0007000000000000001
all	minimal	A_bin.1	A_bin.12	M_LalaDgluMdap_e	0.05	0.11	1	0.0055000000000000005
all	minimal	A_bin.1	A_bin.12	M_acald_e	0.05	0.05	1	0.0025000000000000005
all	minimal	A_bin.1	A_bin.12	M_cys__L_e	0.05	0.11	1	0.0055000000000000005
all	minimal	A_bin.1	A_bin.12	M_fe2_e	0.05	0.12	1	0.006
all	minimal	A_bin.1	A_bin.12	M_fe3_e	0.05	0.87	1	0.043500000000000004
all	minimal	A_bin.1	A_bin.12	M_fe3pyovd_kt_e	0.05	0.01	1	0.0005
all	minimal	A_bin.1	A_bin.12	M_gal_e	0.05	0.01	1	0.0005
all	minimal	A_bin.1	A_bin.12	M_h2o_e	0.05	0.01	1	0.0005
all	minimal	A_bin.1	A_bin.12	M_h2s_e	0.05	0.01	1	0.0005
all	minimal	A_bin.1	A_bin.12	M_h_e	0.05	0.01	1	0.0005
all	minimal	A_bin.1	A_bin.12	M_ura_e	0.05	0.01	1	0.0005
all	minimal	A_bin.1	A_bin.13	M_acald_e	0.04	0.05	1	0.002
all	minimal	A_bin.1	A_bin.13	M_cys__L_e	0.04	0.11	1	0.0044
all	minimal	A_bin.1	A_bin.13	M_fe2_e	0.04	0.12	1	0.0048
all	minimal	A_bin.1	A_bin.13	M_fe3_e	0.04	0.87	1	0.0348
all	minimal	A_bin.1	A_bin.13	M_fe3pyovd_kt_e	0.04	0.01	1	0.0004
all	minimal	A_bin.1	A_bin.13	M_glyc_e	0.04	0.01	1	0.0004
all	minimal	A_bin.1	A_bin.13	M_h2o_e	0.04	0.01	1	0.0004
all	minimal	A_bin.1	A_bin.13	M_h2s_e	0.04	0.01	1	0.0004
all	minimal	A_bin.1	A_bin.13	M_h_e	0.04	0.01	1	0.0004
all	minimal	A_bin.1	A_bin.13	M_o2_e	0.04	0.19	1	0.0076
all	minimal	A_bin.1	A_bin.13	M_rib__D_e	0.04	0.01	1	0.0004
all	minimal	A_bin.1	A_bin.13	M_ura_e	0.04	0.01	1	0.0004
all	minimal	A_bin.1	A_bin.14	M_acald_e	0.13	0.05	1	0.006500000000000001
all	minimal	A_bin.1	A_bin.14	M_fe2_e	0.13	0.12	1	0.0156
all	minimal	A_bin.1	A_bin.14	M_fe3_e	0.13	0.87	1	0.1131
all	minimal	A_bin.1	A_bin.14	M_fe3pyovd_kt_e	0.13	0.01	1	0.0013000000000000002
all	minimal	A_bin.1	A_bin.14	M_glyc_e	0.13	0.01	1	0.0013000000000000002
all	minimal	A_bin.1	A_bin.14	M_h2o_e	0.13	0.01	1	0.0013000000000000002
all	minimal	A_bin.1	A_bin.14	M_h2s_e	0.13	0.01	1	0.0013000000000000002
all	minimal	A_bin.1	A_bin.14	M_h_e	0.13	0.01	1	0.0013000000000000002
all	minimal	A_bin.1	A_bin.14	M_ser__L_e	0.13	1.0	1	0.13
all	minimal	A_bin.1	A_bin.14	M_ura_e	0.13	0.01	1	0.0013000000000000002
all	minimal	A_bin.1	A_bin.15	M_acald_e	0.04	0.05	1	0.002
all	minimal	A_bin.1	A_bin.15	M_fe2_e	0.04	0.12	1	0.0048
all	minimal	A_bin.1	A_bin.15	M_fe3_e	0.04	0.87	1	0.0348
all	minimal	A_bin.1	A_bin.15	M_fe3pyovd_kt_e	0.04	0.01	1	0.0004
all	minimal	A_bin.1	A_bin.15	M_glyald_e	0.04	0.01	1	0.0004
all	minimal	A_bin.1	A_bin.15	M_glyc_e	0.04	0.01	1	0.0004
all	minimal	A_bin.1	A_bin.15	M_h2o_e	0.04	0.01	1	0.0004
all	minimal	A_bin.1	A_bin.15	M_h2s_e	0.04	0.01	1	0.0004
all	minimal	A_bin.1	A_bin.15	M_h_e	0.04	0.01	1	0.0004
all	minimal	A_bin.1	A_bin.16	M_acald_e	0.04	0.05	1	0.002
all	minimal	A_bin.1	A_bin.16	M_fe2_e	0.04	0.12	1	0.0048
all	minimal	A_bin.1	A_bin.16	M_fe3_e	0.04	0.87	1	0.0348
