Genomic bins	B10	B4	B5	B6	B7	B1	B2	B3	B8	B9
bin.9	7.151506	2.702286	5.082406	2.8415844999999997	0.894439	2.005616	6.446159	53.333799	0.228462	6.357988
bin.20	6.5978794999999995	1.380589	0.694179	0.925565	9.288517	0.407539	3.043803	0.426072	0.723203	2.441628
bin.4	0.096901	0.037593	5.676865	0.38048	0.608228	3.633271	0.30226	0.0	0.367148	0.063561
bin.25	2.161875	0.037569	0.269761	3.993699	0.307301	1.744786	0.156922	0.58585	0.533837	0.315594
bin.22	1.5281935	0.644719	0.886009	0.762274	0.0	2.529634	1.676558	0.303007	3.740135	3.205852
bin.6	4.067702	1.770934	12.815444	11.159159	3.676399	0.306549	1.856516	3.462675	0.0	1.312541
bin.27	0.0	0.0	0.0	2.66314	0.057289	0.0	3.349993	0.0	0.0	2.405427
bin.15	4.746071	0.1822135	0.00774	0.56723	0.0	0.0	0.709129	28.5827	0.0	19.474014
bin.17	1.169872	1.064048	3.680173	0.297139	0.0	0.0	1.750908	0.494953	0.0	3.302145
bin.3	0.019275	0.0	1.465648	18.243032	0.166465	4.189108	0.0	0.0	0.297632	0.0
bin.2	4.455817	0.0	0.288485	0.446968	3.678537	1.808667	0.880036	0.0	0.0	8.841218
bin.5	5.237361	0.023731	0.01719	1.915079	1.705764	4.784857	0.561958	3.330108	15.548433	11.853222
bin.11	2.56903	1.886855	0.179189	2.810246	3.864643	2.612208	1.230392	2.489546	0.877767	4.114319
bin.7	2.957837	0.0	0.0	2.253392	4.656285	2.894539	7.477036	0.0	0.3402825	17.126461
bin.14	19.813716	0.0	0.0	1.324765	0.0	0.0	2.101913	0.0	0.659832	6.707577
bin.13	0.241327	0.0	1.126902	0.473785	0.0	0.0	1.17547	10.145421	0.0	8.965691
bin.18	17.53761	33.468286	27.256383	44.45245	8.312827	0.0	1.369084	19.48316	0.0	4.394347
bin.28	11.830291	15.0704805	11.286944	76.732478	4.318879	15.9791845	4.249338	19.452335	1.744614	3.728467
bin.21	0.011812	0.0	0.043151	4.844143	0.0	0.018859	0.0	0.0	0.0	0.010285
bin.30	7.465752	6.4959225	0.908911	1.279684	2.675473	3.791526	6.907187	8.535213	0.359991	6.33208
bin.16	7.747814	12.07925	8.437783	37.989621	4.271193	2.148897	3.766689	21.485406	0.855327	5.379642
bin.8	0.0	0.0	0.0	3.174388	0.478774	0.0	0.430219	0.0	0.385735	0.512052
bin.29	0.778564	0.583521	0.473467	5.556474	0.222289	0.005405	0.0	0.0	0.0	0.186313
bin.10	0.436612	0.088584	0.0	1.240488	0.0	0.0	1.183246	7.710313	0.0	7.087833
bin.12	1.090586	1.027813	0.036178	6.136009	1.313762	0.224237	0.219388	0.095668	0.126162	1.4113
bin.1	9.69636	0.648354	0.235898	3.0289855	24.261968	4.908079	1.604954	5.087989	15.169923	15.854481
bin.24	13.285669	6.1289	1.706119	6.369299	23.672846	43.597716	0.0	10.299448	22.644664	22.328235
bin.26	19.693765	0.067652	0.059029	2.940573	3.137192	5.931515	0.217595	0.0	17.273625	0.0
bin.19	2.389583	0.199181	0.715795	1.673602	0.432359	0.07695	0.860889	0.382407	0.0	1.87206
bin.23	6.164418	1.059617	0.70554	2.336298	10.890585	9.511074	1.44947	6.805024	10.856396	10.090514
