Genomic bins	B10	B4	B5	B6	B7	B1	B2	B3	B8	B9
bin.9	6.5978794999999995	1.380587	0.694177	0.925565	9.288482	0.40754	3.043791	0.426071	0.723209	2.441627
bin.20	1.5281935	0.644718	0.886007	0.762273	0.0	2.529637	1.676553	0.303006	3.740162	3.205852
bin.36	0.223822	0.6089935	2.591831	1.8660255000000001	0.0	0.527631	0.2865585	0.3575975	0.0	0.0
bin.4	0.0	0.0	0.0	2.66314	0.057289	0.0	3.349979	0.0	0.0	2.405426
bin.25	4.442391	1.360888	7.98634	23.081247	3.989905	4.509666	0.868578	1.169971	0.579239	0.3844
bin.22	0.228117	0.566034	1.425195	1.77684	0.0	0.0	0.643801	0.246759	0.0	0.365902
bin.6	0.436612	0.088584	0.0	1.240488	0.0	0.0	1.183241	7.710287	0.0	7.087831
bin.27	2.161875	0.037569	0.26976	3.993698	0.3073	1.744789	0.156921	0.585848	0.533841	0.315594
bin.15	4.455817	0.0	0.288484	0.446968	3.678524	1.808669	0.880032	0.0	0.0	8.841215
bin.17	19.693766	0.067652	0.059029	2.940573	3.137181	5.931523	0.217594	0.0	17.273762	0.0
bin.3	2.569031	1.886853	0.179188	2.810246	3.864634	2.612212	1.230387	2.489537	0.877773	4.114317
bin.33	0.019275	0.0	1.465643	18.243031	0.166465	4.189114	0.0	0.0	0.297634	0.0
bin.2	0.112555	1.01355	4.542552	0.26371049999999996	0.0	0.712113	0.108722	0.0	0.7323425	0.0
bin.5	19.813717	0.0	0.0	1.324765	0.0	0.0	2.101905	0.0	0.659837	6.707575
bin.11	17.537611	33.468236	27.256298	44.452445	8.3128	0.0	1.369079	19.483101	0.0	4.394346
bin.31	1.745928	1.137952	0.599422	2.292635	2.09707	10.822667	0.286837	4.188747	2.002761	7.636065
bin.7	4.067702	1.770931	12.815402	11.159157	3.676385	0.306549	1.856508	3.462663	0.0	1.31254
bin.14	1.090586	1.027813	0.036178	6.136008	1.313757	0.224237	0.219387	0.095668	0.126163	1.411299
bin.13	0.011812	0.0	0.04315	4.8441425	0.0	0.018859	0.0	0.0	0.0	0.010285
bin.18	7.151506	2.702283	5.082391	2.8415844999999997	0.894435	2.005617	6.446135	53.333617	0.228464	6.357986
bin.34	9.696361	0.648353	0.235897	3.0289855	24.2619185	4.908082	1.604948	5.087973	15.170033	15.854476
bin.28	4.746071	0.1822135	0.00774	0.56723	0.0	0.0	0.709126	28.582602	0.0	19.474007
bin.37	7.465752	6.4959145	0.9089095	1.279684	2.675465	3.791529	6.907161	8.535187	0.359993	6.332078
bin.21	11.830291	15.0704595	11.286908	76.732468	4.318862	15.979203	4.24932	19.452268	1.744626	3.728465
bin.32	13.28567	6.128892	1.706113	6.369298	23.672765	43.597774	0.0	10.299415	22.644837	22.328227
bin.35	0.12847550000000002	2.12236	2.9956300000000002	4.119001	0.0	0.215398	0.827711	0.0	0.0	0.150973
bin.30	0.0	0.0	0.0	3.174388	0.478773	0.0	0.430218	0.0	0.385738	0.512052
bin.16	2.389584	0.199181	0.715793	1.673602	0.432358	0.07695	0.860886	0.382406	0.0	1.87206
bin.8	6.164418	1.059615	0.705538	2.336298	10.890546	9.511086	1.449464	6.805002	10.856474	10.090511
bin.29	0.081827	0.0	6.104285	0.374894	2.205134	3.754599	0.782377	0.050119	0.485331	0.037668
bin.10	0.241327	0.0	1.126899	0.473785	0.0	0.0	1.175466	10.14539	0.0	8.965689
bin.12	0.096901	0.037593	5.676847	0.38048	0.608226	3.633276	0.302259	0.0	0.367151	0.063561
bin.1	7.747814	12.079235	8.437759	37.989616	4.271179	2.1489	3.766674	21.485335	0.855334	5.37964
bin.24	1.169872	1.064046	3.680161	0.297139	0.0	0.0	1.750901	0.494952	0.0	3.302144
bin.26	5.237361	0.023731	0.01719	1.915079	1.705758	4.784863	0.561956	3.330097	15.548517	11.853218
bin.19	0.778564	0.58352	0.473466	5.556473	0.222288	0.005405	0.0	0.0	0.0	0.186313
bin.23	2.957837	0.0	0.0	2.253392	4.65628	2.894543	7.477012	0.0	0.3402845	17.1264625
