community	medium	receiver	donor	compound	scs	mus	mps	smetana
all	minimal	B_bin.1	B_bin.10	M_acald_e	0.7	0.02	1	0.013999999999999999
all	minimal	B_bin.1	B_bin.10	M_fe2_e	0.7	1.0	1	0.7
all	minimal	B_bin.1	B_bin.10	M_fe3_e	0.7	0.01	1	0.006999999999999999
all	minimal	B_bin.1	B_bin.10	M_gal_e	0.7	0.28	1	0.196
all	minimal	B_bin.1	B_bin.10	M_glyc_e	0.7	0.02	1	0.013999999999999999
all	minimal	B_bin.1	B_bin.10	M_h2s_e	0.7	0.04	1	0.027999999999999997
all	minimal	B_bin.1	B_bin.10	M_h_e	0.7	0.03	1	0.020999999999999998
all	minimal	B_bin.1	B_bin.10	M_nh4_e	0.7	0.01	1	0.006999999999999999
all	minimal	B_bin.1	B_bin.10	M_o2_e	0.7	0.4	1	0.27999999999999997
all	minimal	B_bin.1	B_bin.11	M_acald_e	0.09	0.02	1	0.0018
all	minimal	B_bin.1	B_bin.11	M_cys__L_e	0.09	0.27	1	0.024300000000000002
all	minimal	B_bin.1	B_bin.11	M_fe2_e	0.09	1.0	1	0.09
all	minimal	B_bin.1	B_bin.11	M_fe3_e	0.09	0.01	1	0.0009
all	minimal	B_bin.1	B_bin.11	M_glc__D_e	0.09	0.01	1	0.0009
all	minimal	B_bin.1	B_bin.11	M_h_e	0.09	0.03	1	0.0026999999999999997
all	minimal	B_bin.1	B_bin.11	M_nh4_e	0.09	0.01	1	0.0009
all	minimal	B_bin.1	B_bin.12	M_acald_e	0.05	0.02	1	0.001
all	minimal	B_bin.1	B_bin.12	M_fe2_e	0.05	1.0	1	0.05
all	minimal	B_bin.1	B_bin.12	M_fe3_e	0.05	0.01	1	0.0005
all	minimal	B_bin.1	B_bin.12	M_glyc_e	0.05	0.02	1	0.001
all	minimal	B_bin.1	B_bin.12	M_h2s_e	0.05	0.04	1	0.002
all	minimal	B_bin.1	B_bin.12	M_h_e	0.05	0.03	1	0.0015
all	minimal	B_bin.1	B_bin.12	M_nh4_e	0.05	0.01	1	0.0005
all	minimal	B_bin.1	B_bin.12	M_o2_e	0.05	0.4	1	0.020000000000000004
all	minimal	B_bin.1	B_bin.14	M_acald_e	0.05	0.02	1	0.001
all	minimal	B_bin.1	B_bin.14	M_anhgm_e	0.05	0.02	1	0.001
all	minimal	B_bin.1	B_bin.14	M_cellb_e	0.05	0.32	1	0.016
all	minimal	B_bin.1	B_bin.14	M_fe2_e	0.05	1.0	1	0.05
all	minimal	B_bin.1	B_bin.14	M_fe3_e	0.05	0.01	1	0.0005
all	minimal	B_bin.1	B_bin.14	M_glc__D_e	0.05	0.01	1	0.0005
all	minimal	B_bin.1	B_bin.14	M_glyc_e	0.05	0.02	1	0.001
all	minimal	B_bin.1	B_bin.14	M_h2s_e	0.05	0.04	1	0.002
all	minimal	B_bin.1	B_bin.14	M_h_e	0.05	0.03	1	0.0015
all	minimal	B_bin.1	B_bin.14	M_nh4_e	0.05	0.01	1	0.0005
all	minimal	B_bin.1	B_bin.14	M_o2_e	0.05	0.4	1	0.020000000000000004
all	minimal	B_bin.1	B_bin.15	M_acald_e	0.05	0.02	1	0.001
all	minimal	B_bin.1	B_bin.15	M_fe2_e	0.05	1.0	1	0.05
all	minimal	B_bin.1	B_bin.15	M_fe3_e	0.05	0.01	1	0.0005
all	minimal	B_bin.1	B_bin.15	M_h_e	0.05	0.03	1	0.0015
all	minimal	B_bin.1	B_bin.15	M_nh4_e	0.05	0.01	1	0.0005
all	minimal	B_bin.1	B_bin.17	M_4abz_e	0.04	0.06	1	0.0024
all	minimal	B_bin.1	B_bin.17	M_acald_e	0.04	0.02	1	0.0008
all	minimal	B_bin.1	B_bin.17	M_alaala_e	0.04	0.01	1	0.0004
all	minimal	B_bin.1	B_bin.17	M_anhgm_e	0.04	0.02	1	0.0008
