Sample,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
UniRef90_Q5F9J0,2046332.3849707725,-0.8071194031258271,0.5585472053682847,-1.4450334642595577,0.14844848619882775,0.3168318605715816
UniRef90_E8JY89,2586634.2705781735,-0.08408299659656965,0.2305671173934868,-0.3646790468090611,0.7153510012452635,0.8089216445874648
UniRef90_N0CC78,969103.2221504869,1.2121015450080486,0.25322593199542126,4.786640670869227,1.6959608133591072e-06,0.001046973142113689
UniRef90_Q8DZZ2,5972162.50473176,1.2076126000230014,0.44314702130462946,2.7250834191952307,0.006428524270377126,0.04584908036496574
UniRef90_G6C8V8,2878118.1022649696,-0.206689162797112,0.26926406221146126,-0.7676076825833248,0.4427202967776497,0.6040891508708808
UniRef90_A8AW61,3193004.170551643,0.691997495960493,0.3242518464024042,2.134135868887876,0.03283166047646013,0.13850623052939443
UniRef90_A8AVW8,3404272.585646624,-0.06755751047339205,0.14080109365944266,-0.47980813726343796,0.6313638262015695,0.7477746748581419
UniRef90_D7N0I4,1979367.4898618595,-0.8548256333104648,0.5610916767019581,-1.5235043911808603,0.12763256293465564,0.29942748161731053
UniRef90_Q8DRP0,3956898.6802837276,0.450789619101927,0.20766368419770687,2.170767704731422,0.029948736346445556,0.12989475342767487
UniRef90_A0A154TN48,2101772.8044599476,-0.9447041713000522,0.5512253045836746,-1.713825841165912,0.08656071600387352,0.266296421991983
UniRef90_D0TKA0,3322137.6734139067,-0.29833590721430686,0.6593455081873107,-0.4524727984186917,0.6509284130548256,0.7644384406959651
UniRef90_P44390,2791921.356712719,-0.9159634119949099,0.5236976275544587,-1.7490310511281815,0.08028565215743136,0.25858961355750065
UniRef90_Q97Q16,2409839.882384526,0.005852165972089115,0.23132050590377182,0.02529895025615925,0.9798165112385967,0.9878171904267181
UniRef90_D2NPM3,1105425.6971874519,1.110347961527063,0.409071468236393,2.714312895773553,0.006641340474289866,0.04676715801667236
UniRef90_E0Q233,2167632.7372830557,-0.19818447318131713,0.28740629594199113,-0.6895620450197717,0.4904696427777827,0.6387832478371684
UniRef90_D3A1Q6,2135603.275585021,-0.5417298680472248,0.5664627739568692,-0.9563379853950869,0.3389015047612569,0.5069835111614279
UniRef90_I0UUF3,838468.9947142205,1.1621421925473148,0.35903126817073594,3.2368829558172703,0.0012084296438185202,0.016577864447051106
