Species,A10,A11,A1,A20,A28,A29,A30,A6,A7,A9,B10,B1,B2,B3,B4,B5,B6,B7,B8,B9
Enterobacter sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004239502,0.0,0.0,0.0,0.0,0.0,0.0
Weissella confusa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000987819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acinetobacter baumannii,0.0,0.0,0.0,0.0006723979,0.0,0.0,0.0,0.0,0.0007572981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Streptococcus pneumoniae,0.0013597388,0.0058974058,0.0153332873,0.0106070216,0.0094164763,0.009800109,0.0012234741,0.0149871947,0.0018534898,0.0098157342,0.0031001517,0.0019841857,0.0102868507,0.0013973367,0.0011428801,0.0073308035,0.0034020441,0.0032550119,0.0172433239,0.0051069598
Streptococcus sp.,0.0173022517,0.0561983003,0.1276740121,0.1239364314,0.0891167168,0.0830955007,0.0187519566,0.1284752597,0.0384333305,0.0892137136,0.0181955446,0.0220691314,0.0531263088,0.0015203529,0.0133869132,0.0635781185,0.0295473566,0.0128710427,0.1282683228,0.0414938695
Streptococcus pseudopneumoniae,0.0001982554,6.91393e-05,0.0008484537,0.0,0.0,0.0,0.0004116736,0.0005631663,0.004951476,0.0,0.0001769417,0.0003132503,0.0,0.0,0.0,0.0002810485,0.0001228266,0.0,0.0,0.0
Streptococcus mitis,7.46713e-05,0.0001391457,0.0009981195,0.0,0.0019844102,0.0016396362,0.0002722719,0.0007293297,0.0,0.0,0.0002198947,0.0002663086,0.0,0.0,0.0002767181,0.0001415664,0.0001668604,0.0,0.0,0.0003840534
Streptococcus sp. SK643,0.0,4.97241e-05,0.0,0.0,0.0,0.0,0.0,0.0001755845,0.0,0.0005140234,0.0002872953,0.0,0.0,0.0,0.0,0.0001193654,0.000105336,0.0,0.0,0.0
Streptococcus oralis,0.0003069058,0.0003661775,0.0014852931,0.0004548105,0.0037845875,0.001438411,0.0003231745,0.0006244392,0.0029959192,0.001669432,0.0006824376,0.0019315156,0.0023196483,0.0,0.0002790742,0.0015202524,0.0007830135,0.0096206418,0.0020960339,0.0011434505
Streptococcus oralis,0.0008947313,0.0010877541,0.0034796668,0.0030041362,0.0029374528,0.002536128,0.0027476402,0.0006330788,0.0014279023,0.0039419919,0.0200578648,0.0016098689,0.001951925,0.000612652,0.0026371584,0.0009965259,0.0042645602,0.0046089874,0.0052979916,0.0036814094
Streptococcus oralis,0.0,8.56914e-05,0.000936572,0.0003749607,0.0,0.0,0.0002983168,0.0001561098,0.002347038,0.0008114227,0.0037584334,0.0007168881,0.0005262118,0.0,0.0004937129,6.60414e-05,0.0003636838,0.0016056761,0.0010205379,0.0010920917
Streptococcus oralis,0.0005518939,0.0039880965,0.0041554557,0.0022490083,0.0014777679,0.0026368781,0.0009134044,0.0002532315,0.0021371701,0.0021440837,0.0074213009,0.0012798673,0.0014062868,0.0019431881,0.0009421155,0.0012793602,0.0013257863,0.0042075773,0.0044435749,0.0086795532
Streptococcus oralis,8.68697e-05,0.0001723592,0.0,0.0,0.0,0.0,0.0002776047,0.0,0.0006467656,0.0,0.009728516,0.0003245333,0.0006210313,0.0,0.0006109147,0.0004246993,0.0002188354,0.0,0.0,0.0006769266
Streptococcus oralis,0.0003861804,0.0015690388,0.0026955657,0.002487753,0.0027040717,0.001690752,0.0035626378,0.0006818292,0.0037458526,0.0021408081,0.0035558599,0.0018563002,0.0025774342,0.0003940148,0.0014444759,0.0007274921,0.001188647,0.0078109416,0.0044627032,0.0039008883
