Pathway,A1_RPKM,A10_RPKM,A11_RPKM,A20_RPKM,A28_RPKM,A29_RPKM,A30_RPKM,A6_RPKM,A7_RPKM,A9_RPKM,B1_RPKM,B10_RPKM,B2_RPKM,B3_RPKM,B4_RPKM,B5_RPKM,B6_RPKM,B7_RPKM,B8_RPKM,B9_RPKM
1CMET2-PWY: folate transformations III (E. coli),200.09995257524545,351.56059595412455,431.6181238496309,337.8595785842604,338.08772003357217,247.46644052967216,395.85731676300276,339.7853544540118,385.35377880347875,240.61887248719987,309.1888813578157,250.47069516109076,280.5033753169966,197.98550699884558,460.5282887393486,366.6697186434127,426.9533283957819,103.47178751842763,154.63336459851186,173.98465208956588
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast,0.0,0.0,0.8656379518752352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3473623062825199,2.0343665598564984,0.0,0.0,0.0
ANAEROFRUCAT-PWY: homolactic fermentation,329.3286785211024,340.6067736460656,477.377910593577,336.4787723723136,357.6769875340203,226.65389657554107,398.93397514081084,343.86849367064974,397.90883960399333,349.28223983071285,372.30631529412074,410.9524913119882,340.5748607668988,360.7444777240827,392.16210292707876,478.57244084494494,375.4489148412983,229.95188163010366,272.1103726255073,391.9496203503102
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose),485.329344857506,600.8635259442666,676.9250994458857,472.28262039635393,497.8816268897635,417.7262583338749,594.795006985574,535.0348515405386,615.4869256576246,482.14363672542,543.6600697340466,569.023045915721,461.3604664103219,457.8012777195013,513.3372745271475,683.9018834151564,596.1445547054844,361.02721628936314,459.1741439991967,558.2797625216742
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis,0.0,63.06893702212909,10.649373502767887,0.0,42.716046026754356,0.0,52.49254881855721,89.60957941760597,0.0,0.0,28.436523713508343,32.49853502279285,41.38842530656573,50.34807224198801,21.051154916940003,54.3162657066016,28.373975117077244,37.54170431257031,34.0075870543528,56.91644987762868
ARGININE-SYN4-PWY: L-ornithine biosynthesis II,51.101207152112025,56.05516295881477,0.0,0.0,12.556557568643017,123.19348743718676,47.254752011796754,28.751158619269866,9.488676594132816,0.0,57.14925623161752,44.294177085235546,0.0,16.899105747039417,20.752773882863217,20.093802355141506,17.99366783768483,0.0,43.301660777055055,51.99587475414818
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine),191.67423707647777,266.1729263613583,262.81433474211184,283.7896801386012,354.09795470869705,154.626171515816,319.8037737402926,230.77050610641572,267.9307829163999,272.048994940168,179.8071367447137,253.96661884779843,329.0919051582447,316.2098239704758,308.8189983003275,239.9390073449389,215.82793732039576,138.173963459964,145.00597929034538,340.5271840099138
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle),203.70824520134192,274.415165428425,225.71807043930025,292.59477219834355,384.30075046234833,162.0840244652093,316.34613212716124,237.08216078994377,289.54376202405825,285.28998936484913,155.40336293707097,233.31056394901634,357.10911708483474,282.9712934599734,300.04905920301906,240.331684076598,204.75062415975825,126.98747474894786,152.71261405419622,324.0123859349383
ARO-PWY: chorismate biosynthesis I,377.1597840172967,545.7818541831156,642.105468917712,448.89495835632573,456.70863638195203,351.5160311215968,550.5522189924184,502.534636717018,552.9687285072145,412.51417758105026,468.4948821558293,567.5850229662357,450.261904808627,485.04360848052625,530.744591892885,610.591559322699,555.9092270747319,255.44084012308926,372.48054149042395,549.5708422435587
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis,301.03183100444465,324.36857375520964,450.7155054653458,347.2837291723476,345.0967384599359,324.2986790297371,360.18788618217894,335.52207527348355,411.699445481511,277.9512038227205,337.26320678461656,377.93742267155034,273.3338405636211,351.4062595065695,353.0579486246499,409.53389151779544,408.27067408676805,156.6158966150534,304.60413459425683,424.477648810617
