Sample,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
1CMET2-PWY: folate transformations III (E. coli),28370877.126567524,-0.17312748428085561,0.15777958397853922,-1.0972743108791818,0.2725214971749187,0.6155555495629282
ALLANTOINDEG-PWY: superpathway of allantoin degradation in yeast,1348.4976456075185,20.087475029187804,10.719759716568937,1.8738736277959394,0.06094784514268573,0.3231314425095564
ANAEROFRUCAT-PWY: homolactic fermentation,34873075.02715178,0.1536027680069305,0.0661232377428469,2.3229771144040354,0.020180381902840546,0.20369572983179676
ANAGLYCOLYSIS-PWY: glycolysis III (from glucose),51604484.407771066,0.08574671927515523,0.0691525395691912,1.2399648633201763,0.21498839059635078,0.5738946294431513
ARG+POLYAMINE-SYN: superpathway of arginine and polyamine biosynthesis,3140271.938596164,0.871732895346611,1.7744097897939273,0.49128048118346473,0.6232280831168673,0.9264967732335971
ARGININE-SYN4-PWY: L-ornithine biosynthesis II,3056712.7751328023,-0.40062618919279097,1.8057008314831595,-0.22186742244767435,0.8244170916168225,0.9876365610151501
ARGSYN-PWY: L-arginine biosynthesis I (via L-ornithine),24551809.122938473,0.04712993736130415,0.1437867518500507,0.32777663279057884,0.7430805564661446,0.961806173815877
ARGSYNBSUB-PWY: L-arginine biosynthesis II (acetyl cycle),24415955.15175108,-0.05127897501657849,0.15470699205346133,-0.33145867769737436,0.7402980488994435,0.961806173815877
ARO-PWY: chorismate biosynthesis I,46701435.83212718,0.12009855393669722,0.04853695856000034,2.474373292018987,0.013347015627877584,0.15396735885015927
ASPASN-PWY: superpathway of L-aspartate and L-asparagine biosynthesis,33261801.299807288,0.0632532887994991,0.0782394926328959,0.808457297854513,0.4188273788233208,0.7774784101145552
BIOTIN-BIOSYNTHESIS-PWY: biotin biosynthesis I,13498452.673424799,-0.2121571774311757,0.4334685120572645,-0.4894408048793822,0.6245296533335505,0.9264967732335971
BRANCHED-CHAIN-AA-SYN-PWY: superpathway of branched chain amino acid biosynthesis,45002485.02212755,0.0757585506363004,0.04960922378597904,1.527106147903727,0.126734618431639,0.4134876944789838
CALVIN-PWY: Calvin-Benson-Bassham cycle,45892789.26390441,0.01299132944445112,0.057430738186407364,0.22620864461613155,0.8210391474310708,0.9876365610151501
