Sample,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Enterobacter sp. [ref_mOTU_v31_00077],3.614515758654444,5.316353541752037,0.0,0.0,,
Weissella confusa [ref_mOTU_v31_00254],4.490678919507877,-5.680140934346689,0.0,0.0,,
Acinetobacter baumannii [ref_mOTU_v31_00259],4.717895197641363,-5.753135285316908,0.0,0.0,,
Streptococcus pneumoniae [ref_mOTU_v31_00282],631.6481558110843,-0.735090275432086,0.6035536599660126,-1.2179369030310918,0.22324795125006658,0.7827290973706603
Streptococcus sp. [ref_mOTU_v31_00283],5478.454695881648,-1.1211385898910933,0.6135895065017628,-1.82718018807558,0.06767268166876078,0.49989437846550194
Streptococcus pseudopneumoniae [ref_mOTU_v31_00284],30.549254583353154,-2.446493283637834,1.7537915828031694,-1.3949737857262867,0.16302374474489156,0.7439575653040686
Streptococcus mitis [ref_mOTU_v31_00285],35.243564181180396,-1.8370000509348248,1.3778032986985562,-1.3332817918711735,0.18243934667078554,0.7601639444616064
Streptococcus sp. SK643 [ref_mOTU_v31_00286],5.969362928866913,-0.6471201154159187,2.365309853319312,-0.27358788300306414,0.7844013468072246,
Streptococcus oralis [ref_mOTU_v31_00287],141.66798843567554,0.47294008496228057,0.754171584707479,0.6270987856771614,0.5305944830795153,0.9054681836540761
Streptococcus oralis [ref_mOTU_v31_00288],291.9386109809247,0.8250437180508317,0.535211862861198,1.541527337679357,0.12318849475496198,0.695313184129405
Streptococcus oralis [ref_mOTU_v31_00289],56.13341134856277,0.9919889011284774,1.0479020068458988,0.9466428107283471,0.34382082123368374,0.8424158603172707
Streptococcus oralis [ref_mOTU_v31_00290],255.70879517752655,0.6353029768334378,0.5993666566542177,1.0599571560750873,0.2891640911541221,0.8424158603172707
Streptococcus oralis [ref_mOTU_v31_00291],49.33111488158605,3.136702279487935,1.6272442195051542,1.9276161757955472,0.05390288535559116,0.4365374518234495
